iter	Passed	Remaining
629	8887	5219
630	8900	5204
631	8912	5189
632	8924	5174
633	8937	5159
634	8950	5144
635	8964	5130
636	8978	5116
637	8988	5099
638	9002	5085
639	9015	5071
640	9028	5056
641	9042	5042
642	9052	5025
643	9067	5012
644	9081	4998
645	9095	4984
646	9107	4969
647	9119	4953
648	9133	4939
649	9148	4925
650	9162	4911
651	9174	4897
652	9188	4882
653	9200	4867
654	9214	4853
655	9229	4840
656	9244	4826
657	9257	4811
658	9270	4796
659	9281	4781
660	9295	4767
661	9309	4753
662	9324	4739
663	9337	4725
664	9348	4709
665	9361	4694
666	9375	4680
667	9388	4666
668	9401	4651
669	9413	4636
670	9426	4622
671	9440	4608
672	9456	4594
673	9468	4579
674	9479	4564
675	9493	4550
676	9505	4535
677	9520	4521
678	9533	4506
679	9543	4490
680	9561	4479
681	9577	4465
682	9591	4451
683	9604	4437
684	9619	4423
685	9633	4409
686	9643	4393
687	9657	4379
688	9671	4365
689	9684	4350
690	9696	4335
691	9706	4320
692	9721	4306
693	9734	4292
694	9748	4277
695	9758	4262
696	9773	4248
697	9789	4235
698	9801	4220
699	9815	4206
700	9828	4192
701	9840	4177
702	9854	4163
703	9867	4148
704	9881	4134
705	9893	4119
706	9903	4104
707	9917	4090
708	9931	4076
709	9947	4063
710	9960	4048
711	9970	4033
712	9984	4019
713	9996	4004
714	10010	3990
715	10020	3974
716	10032	3960
717	10046	3946
718	10061	3932
719	10074	3918
720	10086	3903
721	10097	3888
722	10111	3873
723	10124	3859
724	10137	3845
725	10148	3830
726	10164	3816
727	10178	3803
728	10189	3787
729	10200	3772
730	10212	3758
731	10227	3744
732	10239	3729
733	10253	3715
734	10263	3700
735	10278	3686
736	10291	3672
737	10306	3658
738	10320	3645
739	10333	3630
740	10343	3615
741	10357	3601
742	10372	3587
743	10384	3573
744	10394	3557
745	10408	3543
746	10421	3529
747	10435	3515
748	10448	3501
749	10459	3486
750	10473	3472
751	10487	3458
752	10501	3444
753	10515	3430
754	10524	3415
755	10538	3401
756	10552	3387
757	10566	3373
758	10579	3359
759	10591	3344
760	10603	3330
761	10618	3316
762	10633	3302
763	10647	3288
764	10657	3273
765	10670	3259
766	10683	3245
767	10697	3231
768	10710	3217
769	10721	3202
770	10734	3188
771	10748	3174
772	10763	3160
773	10776	3146
774	10796	3134
775	10809	3120
776	10820	3105
777	10833	3091
778	10847	3077
779	10860	3063
780	10871	3048
781	10882	3033
782	10895	3019
783	10909	3005
784	10919	2990
785	10932	2976
786	10948	2963
787	10963	2949
788	10977	2935
789	10993	2922
790	11009	2908
791	11026	2895
792	11042	2882
793	11057	2868
794	11071	2854
795	11082	2840
796	11096	2826
797	11111	2812
798	11127	2799
799	11141	2785
800	11155	2771
801	11169	2757
802	11179	2742
803	11193	2728
804	11208	2715
805	11221	2701
806	11234	2686
807	11246	2672
808	11262	2658
809	11276	2645
810	11292	2631
811	11308	2618
812	11322	2604
813	11337	2590
814	11351	2576
815	11364	2562
816	11375	2547
817	11389	2534
818	11404	2520
819	11421	2507
820	11435	2493
821	11449	2479
822	11460	2464
823	11472	2450
824	11486	2436
825	11500	2422
826	11516	2409
827	11530	2395
828	11541	2380
829	11554	2366
830	11568	2352
831	11582	2338
832	11596	2324
833	11607	2310
834	11623	2296
835	11636	2282
836	11649	2268
837	11661	2254
838	11672	2239
839	11687	2226
840	11703	2212
841	11716	2198
842	11731	2184
843	11745	2171
844	11758	2156
845	11818	2151
846	11863	2142
847	11909	2134
848	11959	2127
849	11991	2116
850	12030	2106
851	12044	2092
852	12058	2078
853	12077	2064
854	12090	2050
855	12106	2036
856	12116	2021
857	12130	2007
858	12146	1993
859	12159	1979
860	12173	1965
861	12185	1950
862	12196	1936
863	12211	1922
864	12225	1908
865	12239	1893
866	12254	1879
867	12270	1865
868	12280	1851
869	12296	1837
870	12310	1823
871	12325	1809
872	12339	1795
873	12356	1781
874	12370	1767
875	12385	1753
876	12395	1738
877	12410	1724
878	12425	1710
879	12438	1696
880	12452	1681
881	12464	1667
882	12476	1653
883	12490	1639
884	12505	1625
885	12519	1610
886	12534	1596
887	12548	1582
888	12559	1568
889	12574	1554
890	12588	1539
891	12602	1525
892	12616	1511
893	12630	1497
894	12641	1483
895	12653	1468
896	12668	1454
897	12686	1440
898	12701	1426
899	12714	1412
900	12728	1398
901	12740	1384
902	12751	1369
903	12764	1355
904	12779	1341
905	12792	1327
906	12804	1312
907	12820	1299
908	12834	1284
909	12847	1270
910	12861	1256
911	12875	1242
912	12885	1227
913	12900	1213
914	12913	1199
915	12927	1185
916	12940	1171
917	12950	1156
918	12964	1142
919	12978	1128
920	12993	1114
921	13008	1100
922	13020	1086
923	13031	1071
924	13043	1057
925	13059	1043
926	13073	1029
927	13089	1015
928	13099	1001
929	13114	987
930	13129	973
931	13142	958
932	13156	944
933	13164	930
934	13178	916
935	13192	902
936	13208	888
937	13221	873
938	13234	859
939	13245	845
940	13259	831
941	13274	817
942	13287	803
943	13300	789
944	13311	774
945	13326	760
946	13339	746
947	13353	732
948	13368	718
949	13384	704
950	13397	690
951	13410	676
952	13426	662
953	13439	648
954	13453	633
955	13467	619
956	13484	605
957	13499	591
958	13509	577
959	13524	563
960	13537	549
961	13552	535
962	13566	521
963	13581	507
964	13591	492
965	13605	478
966	13622	464
967	13638	450
968	13653	436
969	13667	422
970	13681	408
971	13695	394
972	13711	380
973	13721	366
974	13735	352
975	13749	338
976	13765	324
977	13780	309
978	13792	295
979	13802	281
980	13817	267
981	13833	253
982	13848	239
983	13861	225
984	13874	211
985	13893	197
986	13906	183
987	13917	169
988	13929	154
989	13944	140
990	13959	126
991	13974	112
992	13988	98
993	13999	84
994	14013	70
995	14027	56
996	14043	42
997	14057	28
998	14068	14
999	14079	0
